Label	Power	Voltage	Voltage(2)	Temp	Temp(2)	Voltage(3)
Units	V	µmol/m2s	ppm	deg C	deg C	ppt
15.01.2018 05:28:30	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:28:35	8,8	-3	-9,1	#NAN	-7,0	-0,2
15.01.2018 05:28:40	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:28:45	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:28:50	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:28:55	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:29:00	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:29:05	8,8	-3	-9,1	#NAN	-7,0	-0,2
15.01.2018 05:29:10	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:29:15	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:29:20	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:29:25	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:29:30	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:29:35	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:29:40	8,8	-3	-9,0	#NAN	-7,0	-0,2
15.01.2018 05:29:45	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:29:50	8,8	-3	-9,0	#NAN	-7,0	-0,2
15.01.2018 05:29:55	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:30:00	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:30:05	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:30:10	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:30:15	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:30:20	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:30:25	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:30:30	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:30:35	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:30:40	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:30:45	8,8	-3	-9,0	#NAN	-7,0	-0,2
15.01.2018 05:30:50	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:30:55	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:31:00	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:31:05	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:31:10	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:31:15	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:31:20	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:31:25	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:31:30	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:31:35	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:31:40	8,8	-3	-9,0	#NAN	-7,0	-0,2
15.01.2018 05:31:45	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:31:50	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:31:55	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:32:00	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:32:05	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:32:10	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:32:15	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:32:20	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:32:25	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:32:30	8,8	-3	-9,0	#NAN	-7,0	-0,2
15.01.2018 05:32:35	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:32:40	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:32:45	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:32:50	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:32:55	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:33:00	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:33:05	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:33:10	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:33:15	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:33:20	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:33:25	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:33:30	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:33:35	8,8	-3	-9,0	#NAN	-7,0	-0,2
15.01.2018 05:33:40	8,8	-3	-9,1	#NAN	-7,0	-0,2
15.01.2018 05:33:45	8,8	-3	-9,0	#NAN	-7,0	-0,2
15.01.2018 05:33:50	8,8	-3	-9,0	#NAN	-7,0	-0,2
15.01.2018 05:33:55	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:34:00	8,8	-3	-8,9	#NAN	-7,0	-0,2
15.01.2018 05:34:05	8,8	-3	-9,0	#NAN	-7,0	-0,2
