Label	Power	Voltage	Voltage(2)	Temp	Temp(2)	Voltage(3)
Units	V	µmol/m2s	ppm	deg C	deg C	ppt
20.06.2018 01:33:50	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:33:55	8,7	#-INF	-9,0	#NAN	26,0	-0,2
20.06.2018 01:34:00	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:34:05	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:34:10	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:34:15	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:34:20	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:34:25	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:34:30	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:34:35	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:34:40	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:34:45	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:34:50	8,7	#-INF	-9,0	#NAN	26,0	-0,2
20.06.2018 01:34:55	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:35:00	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:35:05	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:35:10	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:35:15	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:35:20	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:35:25	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:35:30	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:35:35	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:35:40	8,7	#-INF	-8,8	#NAN	26,0	-0,2
20.06.2018 01:35:45	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:35:50	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:35:55	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:36:00	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:36:05	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:36:10	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:36:15	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:36:20	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:36:25	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:36:30	8,7	#-INF	-8,9	#NAN	26,0	-0,2
20.06.2018 01:36:35	8,7	#-INF	-8,9	#NAN	26,0	-0,2
